batch_size,timeout_s,anchors,events_per_anchor,timeout_flush_share,gas_total,gas_per_event,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,cost_latency_product,usd_per_10k_parcels_calm,usd_per_10k_parcels_typical,usd_per_10k_parcels_congested,usd_per_event_typical
4,3600.0,170351,4.0,0.0,12498642544.7,18342.566,7.3,13.3,15.4,3600.3,243362.8,22287.0426,89148.1705,222870.4262,1.10055394
8,3600.0,85176,8.0,0.0,6249366507.8,9171.349,9.1,16.4,19.4,3600.3,150107.6,11143.602,44574.4079,111436.0197,0.55028095
16,3600.0,42588,16.0,0.0,3124691804.5,4585.687,12.3,22.8,26.8,3611.7,104458.3,5571.8162,22287.2649,55718.1623,0.27514123
32,3600.0,21294,32.0,0.0,1562354452.8,2292.856,19.3,35.9,41.6,3610.9,82343.6,2785.9234,11143.6935,27859.2336,0.13757137
64,3600.0,10647,63.999,0.0001,781185777.0,1146.441,33.5,62.5,70.7,3611.5,71657.1,1392.9769,5571.9077,13929.7693,0.06878644
128,3600.0,5324,127.987,0.0002,390638124.0,573.287,62.0,116.0,127.9,3611.5,66476.1,696.5691,2786.2765,6965.6913,0.0343972
256,3600.0,2662,255.973,0.0004,195327612.6,286.656,118.9,223.3,241.9,3602.7,64010.9,348.2998,1393.1992,3482.9981,0.01719935
512,3600.0,1331,511.947,0.0008,97672356.9,143.34,232.6,438.5,468.8,3600.9,62861.8,174.1652,696.6606,1741.6515,0.00860043
1024,3600.0,666,1023.125,0.0015,48881413.9,71.737,460.5,870.3,919.3,3600.9,62432.3,87.1632,348.653,871.6324,0.0043042
2048,3600.0,333,2046.249,0.003,24449257.5,35.881,917.1,1736.0,1825.6,3611.3,62290.7,43.5969,174.3875,435.9687,0.00215285
4096,3600.0,169,4031.959,0.7456,12416604.0,18.222,1806.7,3420.3,3564.1,3611.6,62324.6,22.1408,88.563,221.4075,0.00109333
